index,sentence,length
890,He's involved with Tenstorrent.,1.34
891,What's his praise and what's his criticism of what you're doing with your life?,4.12
892,"Look, my prediction for Tenstorrent is that they're gonna pivot to making RISC-V chips.",5.4
893,CPUs.,0.44
894,CPUs.,0.98
895,Why?,1.36
896,"Because AI accelerators are a software problem, not really a hardware problem.",4.36
897,"Oh, interesting.",0.52
898,"So you don't think, you think the diversity of AI accelerators in the hardware space is not going to be a thing that exists long-term?",8.38
899,"I think what's gonna happen is if I can finish, okay.",3.12
900,"If you're trying to make an AI accelerator, you better have the capability of writing a Torch-level performance stack on NVIDIA GPUs.",9.58
901,"If you can't write a Torch stack on NVIDIA GPUs, and I mean all the way, I mean down to the driver, there's no way you're gonna be able to write it on your chip because your chip's worse than an NVIDIA GPU.",8.38
902,"The first version of the chip you take out, it's definitely worse.",2.24
903,"Oh, you're saying writing that stack is really tough.",1.98
904,"Yes, and not only that, actually the chip that you tape out, almost always because you're trying to get advantage over NVIDIA, you're specializing the hardware more.",6.16
905,It's always harder to write software for more specialized hardware.,2.76
906,"Like a GPU is pretty generic, and if you can't write an NVIDIA stack, there's no way you can write a stack for your chip.",5.72
907,"So my approach with TinyGrad is, first, write a performant NVIDIA stack.",4.14
908,We're targeting AMD.,0.94
909,So you did say FU to NVIDIA a little bit.,3.32
910,With love.,0.48
911,Yeah.,0.48
912,With love.,0.44
913,"It's like the Yankees, you know?",1.18
914,I'm a Mets fan.,0.56
915,"Oh, you're a Mets fan, a RISC fan and a Mets fan.",3.98
916,What's the hope that AMD has?,1.44
917,You did a build with AMD recently that I saw.,3.62
918,How does the 7900 XTX compare to the RTX 4090 or 4080?,8.26
919,"Well, let's start with the fact that the 7900 XTX kernel drivers don't work.",3.8
920,"And if you run demo apps in loops, it panics the kernel.",2.68
921,Okay.,0.08
922,So this is a software issue.,1.5
923,Lisa Su responded to my email.,1.16
924,Oh.,0.3
925,I reached out.,0.5
926,"I was like, this is, you know, really?",3.6
927,"Like, I understand if your seven by seven transposed Winograd conv is slower than NVIDIA's, but literally when I run demo apps in a loop, the kernel panics?",10.64
928,So just adding that loop.,1.76
929,"Yeah, I just literally took their demo apps and wrote like while true semicolon do the app semicolon done in a bunch of screens, right?",7.38
930,This is like the most primitive fuzz testing.,2.08
931,Why do you think that is?,1.58
932,They're just not seeing a market in machine learning?,3.94
933,They're changing.,1.08
934,They're trying to change.,0.84
935,They're trying to change.,0.9
936,And I had a pretty positive interaction with them this week.,2.14
937,Last week I went on YouTube.,1.2
938,"I was just like, that's it.",0.96
939,I give up on AMD.,0.74
940,"Like this is their driver doesn't even like, I'm not gonna, I'm not gonna, you know, I'll go with Intel GPUs, right?",5.8
941,Intel GPUs have better drivers.,1.3
942,So you're kind of spearheading the diversification of GPUs.,5.44
943,"Yeah, and I'd like to extend that diversification to everything.",2.52
944,"I'd like to diversify the, right?",3.28
945,The more my central thesis about the world is there's things that centralize power and they're bad.,7.56
946,And there's things that decentralize power and they're good.,1.9
947,"Everything I can do to help decentralize power, I'd like to do.",2.82
948,So you're really worried about the centralization of Nvidia.,2.42
949,That's interesting.,0.52
950,And you don't have a fundamental hope for the proliferation of ASICs except in the cloud.,7.1
951,I'd like to help them with software.,1.78
952,"No, actually there's only, the only ASIC that is remotely successful is Google's TPU.",3.8
953,And the only reason that's successful is because Google wrote a machine learning framework.,4.1
954,I think that you have to write a competitive machine learning framework in order to be able to build an ASIC.,4.74
955,You think Meta with PyTorch builds a competitor?,2.82
956,I hope so.,0.44
957,They have one.,0.76
958,They have an internal one.,0.9
959,Internal.,0.3
960,"I mean, public facing with a nice cloud interface and so on.",3.2
961,I don't want a cloud.,1.2
962,You don't like cloud?,0.94
963,I don't like cloud.,0.82
964,What do you think is a fundamental limitation of cloud?,2.1
965,Fundamental limitation of cloud is who owns the off switch.,3.34
966,So it's a power to the people.,1.52
967,Yeah.,0.38
968,And you don't like the man to have all the power.,2.46
969,All right.,0.38
970,And right now the only way to do that is with NVIDIA GPUs if you want performance and stability.,5.28
971,Interesting.,1.38
972,"It's a costly investment, emotionally, to go with AMDs.",4.08
973,"Well, let me add sort of on a tangent to ask you, what did, you've built quite a few PCs.",5.22
974,"What's your advice on how to build a good custom PC for, let's say, for the different applications that you use for gaming, for machine learning?",7.26
975,"Well, you shouldn't build one.",0.9
976,You should buy a box from the tiny corp.,1.48
977,"I heard rumors, whispers about this box in the tiny corp.",5.16
978,What's this thing look like?,1.24
979,What is it?,0.72
980,What is it called?,0.64
981,It's called the tiny box.,1.02
982,Tiny box.,0.58
983,"It's $15,000.",1.14
984,And it's almost a paid a flop of compute.,3.02
985,It's over a hundred gigabytes of GPU RAM.,2.74
986,It's over five terabytes per second of GPU memory bandwidth.,3.98
987,I'm gonna put like four NVMEs in RAID.,3.76
988,"You're gonna get like 20, 30 gigabytes per second of drive read bandwidth.",3.72
989,I'm gonna build like the best deep learning box that I can that plugs into one wall outlet.,6.44
990,Okay.,0.58
991,Can you go through those specs again in a little bit from memory?,2.8
992,Yeah.,0.24
993,So it's almost a paid a flop of compute.,1.44
994,So AMD Intel?,1.0
995,"Today, I'm leaning toward AMD.",1.8
996,But we're pretty agnostic to the type of compute.,3.78
997,"The main limiting spec is a 120 volt, 15 amp circuit.",4.8
998,Okay.,0.98
999,"Well, I mean it because in order to like, like there's a plug over there, right?",3.74
1000,You have to be able to plug it in.,2.28
1001,"We're also gonna sell the tiny rack, which like what's the most power you can get into your house without arousing suspicion?",7.04
1002,And one of the answers is an electric car charger.,2.96
1003,"Wait, where does the rack go?",1.46
1004,Your garage.,0.84
1005,Interesting.,0.36
1006,The car charger.,0.72
1007,A wall outlet is about 1500 Watts.,2.02
1008,"A car charger is about 10,000 Watts.",1.96
1009,What is the most amount of power you can get your hands on without arousing suspicion?,5.44
1010,That's right.,0.32
1011,George Haas.,0.52
1012,Okay.,0.22
1013,So the tiny box and you said NVMEs and RAID.,4.4
1014,"I forget what you said about memory, all that kind of stuff.",3.26
1015,Okay.,0.24
1016,So what about what GPUs?,2.08
1017,"Again, probably 7,900 XTXs, but maybe 3090s, maybe a 770s.",6.34
1018,Those are Intel's.,0.68
1019,You're flexible or still exploring?,2.7
1020,I'm still exploring.,0.86
1021,I wanna deliver a really good experience to people.,2.98
1022,"And yeah, what GPUs I end up going with, again, I'm leaning toward AMD, we'll see.",4.58
1023,"You know, in my email, what I said to AMD is like, just dumping the code on GitHub is not open source.",6.04
1024,Open source is a culture.,0.94
1025,Open source means that your issues are not all one-year-old stale issues.,4.18
1026,Open source means developing in public.,2.98
1027,"And if you guys can commit to that, I see a real future for AMD as a competitor to Nvidia.",4.42
1028,"Well, I'd love to get a tiny box to MIT.",3.24
1029,"So whenever it's ready, let's do it.",2.42
1030,We're taking pre-orders.,0.54
1031,I took this from Elon.,0.98
1032,I'm like $100 fully refundable pre-orders.,2.36
1033,Is it gonna be like the Cybertruck is gonna take a few years or?,2.72
1034,"No, I'll try to do it faster.",1.22
1035,It's a lot simpler.,0.76
1036,It's a lot simpler than a truck.,0.96
1037,"Well, there's complexities, not to just the putting the thing together, but like shipping and all this kind of stuff.",5.72
1038,"The thing that I wanna deliver to people out of the box is being able to run 65 billion parameter LLAMA in FP16 in real time, in like a good, like 10 tokens per second or five tokens per second or something.",10.26
1039,Just it works.,1.06
1040,"Yep, just LLAMA's works.",0.46
1041,it running or something like LLAMA.,3.86
1042,"Experience, yeah, or I think Falcon is the new one.",3.02
1043,Experience a chat with the largest language model that you can have in your house.,3.66
1044,"Yeah, from a wall plug.",2.58
1045,"From a wall plug, yeah.",0.7
1046,"Actually, for inference, it's not like even more power would help you get more.",3.94
1047,Even more power wouldn't get you more.,1.84
1048,"Well, no, there's just the biggest parameter, the biggest model released is 65 billion parameter LLAMA as far as I know.",4.62
1049,So it sounds like tiny box will naturally pivot towards company number three because you could just get the girlfriend and or boyfriend.,8.7
1050,"That one's harder, actually.",1.26
1051,The boyfriend is harder?,0.88
1052,"Boyfriend's harder, yeah.",0.82
1053,I think that's a very biased statement.,2.74
1054,"I think a lot of people would just say, what, why is it harder to replace a boyfriend than the other girlfriend with the artificial LLM?",8.92
1055,Because women are attracted to status and power and men are attracted to youth and beauty.,3.88
1056,"No, I mean, this is what I mean.",2.42
1057,"Both are mimicable, easy through the language model.",3.16
1058,"No, no machines do not have any status or real power.",3.54
1059,I don't know.,0.82
1060,"I think you both, well, first of all, you're using language mostly to communicate youth and beauty and power and status.",10.26
1061,"But status fundamentally is a zero-sum game, whereas youth and beauty are not.",3.52
1062,"No, I think status is a narrative you can construct.",2.6
1063,I don't think status is real.,1.26
1064,I don't know.,0.84
1065,I just think that that's why it's harder.,1.5
1066,"You know, yeah, maybe it is my biases.",1.2
1067,I think status is way easier to fake.,2.06
1068,"I also think that men are probably more desperate and more likely to buy my product, so maybe they're a better target market.",5.68
1069,Desperation is interesting.,1.34
1070,"Easier to fool, I can see that.",3.3
1071,"Yeah, I mean, look, I know you can look at porn viewership numbers, right?",2.6
1072,A lot more men watch porn than women.,1.34
1073,You can ask why that is.,0.9
1074,"Wow, there's a lot of questions than answers you can get there.",3.7
1075,"Anyway, with the tiny box, how many GPUs in tiny box?",4.5
1076,Six.,0.12
1077,"Oh, man.",4.46
1078,And I'll tell you why it's six.,1.0
1079,Yeah.,0.26
1080,So AMD Epyc processors have 128 lanes of PCIe.,4.64
1081,"I wanna leave enough lanes for some drives, and I wanna leave enough lanes for some networking.",9.14
1082,How do you do cooling for something like this?,1.78
1083,That's one of the big challenges.,1.26
1084,"Not only do I want the cooling to be good, I want it to be quiet.",2.5
1085,"I want the tiny box to be able to sit comfortably in your room, right?",3.2
1086,"This is really going towards the girlfriend thing, because you want to run the LLM.",4.72
1087,"I'll give a more, I mean, I can talk about how it relates to company number one.",3.84
1088,Comma AI.,0.62
1089,Yeah.,0.14
1090,"Well, but yes, quiet.",2.2
1091,"Oh, quiet because you maybe potentially wanna run it in a car?",2.56
1092,"No, no, quiet because you wanna put this thing in your house, and you want it to coexist with you.",3.84
1093,"If it's screaming at 60 dB, you don't want that in your house.",2.36
1094,You'll kick it out.,0.54
1095,"60 dB, yeah.",0.72
1096,"Yeah, I want like 40, 45.",1.34
1097,So how do you make the cooling quiet?,2.0
1098,That's an interesting problem in itself.,1.54
1099,A key trick is to actually make it big.,1.62
1100,"Ironically, it's called the tiny box.",1.32
1101,Yeah.,0.16
1102,"But if I can make it big, a lot of that noise is generated because of high pressure air.",4.46
1103,"If you look at like a 1U server, a 1U server has these super high pressure fans that are like super deep, and they're like Genesis, versus if you have something that's big, well, I can use a big, and you know they call them big-ass fans, those ones that are like huge on the ceiling, and they're completely silent.",15.78
1104,So tiny box will be big.,2.48
1105,"It is the, I do not want it to be large according to UPS.",4.18
1106,"I want it to be shippable as a normal package, but that's my constraint there.",2.68
1107,Interesting.,0.42
1108,"Well, the fan stuff, can't it be assembled on location, or no?",3.6
1109,No.,0.42
1110,"No, it has to be, well, you're...",2.42
1111,"Look, I wanna give you a great out-of-the-box experience.",2.08
1112,I want you to lift this thing out.,1.08
1113,"I want it to be like the Mac, know, you tiny box.",3.1
1114,The Apple experience.,1.06
1115,Yeah.,0.24
1116,I love it.,1.46
1117,"Okay, and so tiny box would run TinyGrad.",3.94
1118,Like what do you envision this whole thing to look like?,3.16
1119,"We're talking about like Linux with a full software engineering environment, and just not PyTorch, but TinyGrad.",10.62
1120,"Yeah, we did a poll of people want Ubuntu or Arch.",2.44
1121,We're gonna stick with Ubuntu.,0.8
1122,"Ooh, interesting.",1.0
1123,What's your favorite flavor of Linux?,2.48
1124,Ubuntu.,0.22
1125,Ubuntu.,0.5
1126,"I like Ubuntu Mate, however you pronounce that, mate.",3.12
1127,So how do you...,1.42
1128,You've gotten Llama into TinyGrad.,1.92
1129,You've gotten Stable Diffusion into TinyGrad.,1.86
1130,What was that like?,0.7
1131,"Can you comment on like, what are these models?",4.56
1132,What's interesting about porting them?,1.26
1133,So what's...,0.72
1134,"Yeah, like what are the challenges?",1.68
1135,"What's naturally, what's easy, all that kind of stuff.",2.3
1136,"There's a really simple way to get these models into TinyGrad, and you can just export them as Onyx, and then TinyGrad can run Onyx.",6.0
1137,"So the ports that I did of Llama, Stable Diffusion, and now Whisper are more academic to teach me about the models, but they are cleaner than the PyTorch versions.",9.34
1138,You can read the code.,0.82
1139,I think the code is easier to read.,1.52
1140,It's less lines.,0.82
1141,There's just a few things about the way TinyGrad writes things.,2.38
1142,Here's a complaint I have about PyTorch.,1.66
1143,"Nn.relu is a class, right?",2.86
1144,"So when you create an Nn.module, you'll put your Nn.relus in an int, and this makes no sense.",7.86
1145,Relu is completely stateless.,1.4
1146,Why should that be a class?,1.36
1147,"But that's more like a software engineering thing, or do you think it has a cost on performance?",4.28
1148,"Oh, no, it doesn't have a cost on performance, but yeah, no, I think that it's...",4.46
1149,That's what I mean about TinyGrad's front end being cleaner.,2.52
1150,"Ah, I see.",0.4
1151,What do you think about Mojo?,1.0
1152,I don't know if you've been paying attention to the programming language that does some interesting ideas that kind of intersect TinyGrad.,7.36
1153,"I think that there is a spectrum, and on one side, you have Mojo, and on the other side, you have GGML.",5.6
1154,"GGML is this, like, we're gonna run Llama fast on Mac.",3.48
1155,"Okay, we're gonna expand out to a little bit, but we're gonna basically go depth first, right?",3.96
1156,"Mojo is like, we're gonna go breadth first.",1.6
1157,"We're gonna go so wide that we're gonna make all of Python fast, and TinyGrad's in the middle.",3.84
1158,"TinyGrad is, we are going to make neural networks fast.",2.62
1159,"Yeah, but they try to really get it to be fast, compiled down to a specific hardware, and make that compilation step as flexible and resilient as possible.",13.7
1160,"Yeah, but they've turned completeness.",1.22
1161,And that limits you.,0.82
1162,"That's what you're saying, it's somewhere in the middle.",1.86
1163,"So you're actually going to be targeting some accelerators, some, like, some number, not one.",6.76
1164,"My goal is step one, build an equally performance stack to PyTorch on NVIDIA and AMD, but with way less lines.",8.58
1165,"And then step two is, okay, how do we make an accelerator, right?",3.54
1166,But you need step one.,0.92
1167,You have to first build the framework before you can build the accelerator.,2.8
1168,Can you explain MLPerf?,1.5
1169,What's your approach in general to benchmarking TinyGrad performance?,3.0
1170,"So I'm much more of a, like, build it the right way and worry about performance later.",6.82
1171,"There's a bunch of things where I haven't even, like, really dove into performance.",4.38
1172,The only place where TinyGrad is competitive performance-wise right now is on Qualcomm GPUs.,5.06
1173,So TinyGrad's actually used in OpenPilot to run the model.,2.22
1174,So the driving model is TinyGrad.,1.66
1175,"When did that happen, that transition?",1.58
1176,About eight months ago now.,1.4
1177,And it's two X faster than Qualcomm's library.,2.1
1178,"What's the hardware that OpenPilot runs on, the Kamiya?",4.46
1179,It's a Snapdragon 845.,1.26
1180,Okay.,0.64
1181,So this is using the GPU.,1.12
1182,So the GPU's an Adreno GPU.,1.58
1183,"There's, like, different things.",1.36
1184,"There's a really good Microsoft paper that talks about, like, mobile GPUs and why they're different from desktop GPUs.",5.28
1185,"One of the big things is in a desktop GPU, you can use buffers on a mobile GPU image textures a lot faster.",7.64
1186,"And a mobile GPU image textures, okay.",2.94
1187,And so you want to be able to leverage that.,2.88
1188,"I want to be able to leverage it in a way that it's completely generic, right?",3.24
1189,"So there's a lot of, Xiaomi has a pretty good open-source library for mobile GPUs called MACE, where they can generate, where they have these kernels, but they're all hand-coded, right?",9.54
1190,So that's great if you're doing three-by-three confs.,2.44
1191,That's great if you're doing dense map models.,1.62
1192,"But the minute you go off the beaten path a tiny bit, well, your performance is nothing.",4.64
1193,"Since you mentioned OpenPILOT, I'd love to get an update in the company number one, CalmAI world.",5.9
1194,How are things going there in the development of semi-autonomous driving?,5.64
1195,"You know, almost no one talks about FSD anymore, and even less people talk about OpenPILOT.",5.46
1196,We've solved the problem.,1.58
1197,"Like, we solved it years ago.",1.46
1198,What's the problem exactly?,1.78
1199,"Well, how do you- Like, what does solving it mean?",3.0
1200,Solving means how do you build a model that outputs a human policy for driving?,3.96
1201,"How do you build a model that, given a reasonable set of sensors, outputs a human policy for driving?",5.78
1202,"So you have companies like Waymo and Cruise, which are hand-coding these things that are like quasi-human policies.",5.66
1203,"Then you have Tesla, and maybe even to more of an extent, Kama, asking, okay, how do we just learn human policy from data?",8.9
1204,"The big thing that we're doing now, and we just put it out on Twitter, at the beginning of Kama, we published a paper called Learning a Driving Simulator.",11.86
1205,"And the way this thing worked was it was an autoencoder, and then an RNN in the middle, right?",7.48
1206,"You take an autoencoder, you compress the picture, you use an RNN, predict the next state, and these things were, it was a laughably bad simulator.",8.6
1207,This is 2015 era machine learning technology.,2.3
1208,"Today, we have VQVAE and transformers.",2.66
1209,"We're building DriveGPT, basically.",2.02
1210,"DriveGPT, okay.",2.14
1211,"So, and it's trained on what?",2.16
1212,Is it trained in a self-supervised way?,2.04
1213,It's trained on all the driving data to predict the next frame.,2.48
1214,So really trying to learn a human policy.,3.28
1215,What would a human do?,0.88
1216,"Well, actually our simulator's conditioned on the pose.",2.38
1217,So it's actually a simulator.,0.98
1218,You can put in like a state action pair and get out the next state.,2.42
1219,Okay.,0.74
1220,"And then once you have a simulator, you can do RL in the simulator, and RL will get us that human policy.",6.38
1221,So it transfers.,0.96
1222,Yeah.,0.24
1223,"RL with a reward function, not asking, is this close to the human policy, but asking, would a human disengage if you did this behavior?",6.66
1224,"Okay, let me think about the distinction there.",3.0
1225,Would a human disengage?,1.36
1226,Would a human disengage?,1.66
1227,"That correlates, I guess, with the human policy, but it could be different.",5.0
1228,"So it doesn't just say, what would a human do?",3.04
1229,"It says, what would a good human driver do?",2.76
1230,"And such that the experience is comfortable, but also not annoying in that, like the thing is very cautious.",7.12
1231,So it's finding a nice balance.,1.42
1232,That's interesting.,0.66
1233,That's a nice- It's asking exactly the right question.,2.78
1234,What will make our customers happy?,1.76
1235,Right.,0.16
1236,A system that you never want to disengage.,1.36
1237,Because usually disengagement is almost always a sign of I'm not happy with what the system is doing.,6.46
1238,Usually.,0.42
1239,"There's some that are just, I felt like driving, and those are always fine too, but they're just going to look like noise in the data.",5.14
1240,But even I felt like driving.,1.36
1241,"Maybe, yeah.",0.72
1242,Even that's a signal.,1.34
1243,"Like, why do you feel like driving?",1.04
1244,You need to recalibrate your relationship with the car.,4.64
1245,"Okay, so that's really interesting.",1.96
1246,How close are we to solving self-driving?,2.22
1247,It's hard to say.,3.0
1248,We haven't completely closed the loop yet.,2.52
1249,So we don't have anything built that truly looks like that architecture yet.,3.14
1250,We have prototypes and there's bugs.,2.36
1251,So we are a couple of bug fixes away.,2.38
1252,"Might take a year, might take 10.",1.24
1253,What's the nature of the bugs?,1.34
1254,"Are these major philosophical bugs, logical bugs?",4.1
1255,What kind of bugs are we talking about?,1.64
1256,They're just like stupid bugs.,1.54
1257,And also we might just need more scale.,1.42
1258,We just massively expanded our compute cluster at Comma.,3.1
1259,We now have about two people worth of compute.,2.98
1260,40 petaflops.,0.56
1261,"Well, people are different.",2.92
1262,"Eh, 20 petaflops.",1.4
1263,That's a person.,0.6
1264,"It's just a unit, right?",1.14
1265,"Horses are different too, but we still call it a horsepower.",1.78
1266,"Yeah, but there's something different about mobility than there is about perception and action in a very complicated world.",7.52
1267,But yes.,0.7
1268,"Well, yeah, of course.",0.66
1269,Not all flops are created equal.,1.16
1270,"If you have randomly initialized weights, it's not gonna.",1.96
1271,Not all flops are created equal.,2.14
1272,Some flops are doing way more useful things than others.,2.18
1273,"Yeah, yep.",1.12
1274,Tell me about it.,1.6
1275,"Okay, so more data.",1.22
1276,Scale means more scale in compute or scale in scale of data?,3.16
1277,Both.,0.52
1278,Diversity of data?,0.84
1279,Diversity is very important in data.,1.54
1280,"Yeah, I mean, we have, so we have about, I think we have like 5,000 daily actives.",4.96
1281,How would you evaluate how FSD is doing?,3.12
1282,Pretty well.,0.3
1283,For self-driving?,0.36
1284,Pretty well.,0.36
1285,How's that race going between Comma AI and FSD?,3.06
1286,Tesla is always one to two years ahead of us.,1.76
1287,They've always been one to two years ahead of us.,1.38
1288,And they probably always will be because they're not doing anything wrong.,2.42
1289,"What have you seen that's, since the last time we talked, that are interesting architectural decisions, training decisions, like the way they deploy stuff, the architectures they're using in terms of the software, how the teams are run, all that kind of stuff, data collection, anything interesting?",12.7
1290,"I mean, I know they're moving toward more of an end-to-end approach.",2.58
1291,"So creeping towards end-to-end as much as possible across the whole thing, the training, the data collection, everything.",6.78
1292,They also have a very fancy simulator.,1.58
1293,They're probably saying all the same things we are.,1.86
1294,"They're probably saying we just need to optimize, what is the reward?",3.48
1295,Will you get a negative reward for disengagement?,1.34
1296,Everyone kind of knows this.,2.04
1297,It's just a question of who can actually build and deploy the system.,2.04
1298,Yeah.,0.3
1299,"I mean, it requires good software engineering, I think.",2.76
1300,Yeah.,0.24
1301,And the right kind of hardware.,1.6
1302,"Yeah, and the hardware to run it.",0.88
1303,You still don't believe in cloud in that regard?,2.36
1304,"I have a compute cluster in my office, 800 amps.",5.08
1305,Tiny grad.,0.64
1306,"It's 40 kilowatts at idle, our data center.",2.4
1307,That's crazy.,0.66
1308,We have 40 kilowatts just burning just when the computers are idle.,2.36
1309,Just when I...,0.36
1310,"Oh, sorry, sorry, compute cluster.",1.16
1311,"Compute cluster, I got it.",2.24
1312,It's not a data center.,0.72
1313,"Yeah, yeah.",0.42
1314,"No, data centers are clouds.",1.28
1315,We don't have clouds.,1.04
1316,Data centers have air conditioners.,1.1
1317,We have fans.,0.68
1318,That makes it a compute cluster.,1.08
1319,I'm guessing this is a kind of a legal distinction that's me.,4.14
1320,"Sure, important to yeah, we have a compute cluster.",1.6
1321,"You said that you don't think LLMs have consciousness, or at least not more than a chicken.",4.36
1322,Do you think they can reason?,1.08
1323,"Is there something interesting to you about the word reason, about some of the capabilities that we think is kind of human?",5.28
1324,"To be able to integrate complicated information and through a chain of thought, arrive at a conclusion that feels novel, a novel integration of disparate facts.",17.08
1325,"Yeah, I don't think that there's...",3.0
1326,I think that they can reason better than a lot of people.,1.78
1327,"Hey, isn't that amazing to you though?",1.2
1328,Isn't that like an incredible thing that a transformer could achieve?,3.1
1329,"I mean, I think that calculators can add better than a lot of people.",3.76
1330,"But language feels like reasoning through the process of language, which looks a lot like thought.",6.82
1331,"Making brilliancies in chess, which feels a lot like thought.",2.76
1332,"Whatever new thing that AI can do, everybody thinks is brilliant, and then like 20 years go by, and they're like, well, yeah, but chess, that's like mechanical.",6.46
1333,"Like adding, that's like mechanical.",1.28
1334,So you think language is not that special?,1.78
1335,It's like chess.,0.64
1336,"It's like chess, and it's like...",0.94
1337,"I don't know, because it's very human, we take it...",4.48
1338,"Listen, there is something different between chess and language.",4.26
1339,Chess is a game that a subset of population plays.,3.06
1340,"Language is something we use nonstop for all of our human interaction, and human interaction is fundamental to society.",7.9
1341,"So it's like, holy shit, this language thing is not so difficult to like create in a machine.",8.48
1342,"The problem is if you go back to 1960, and you tell them that you have a machine that can play amazing chess, of course someone in 1960 will tell you that machine is intelligent.",10.86
1343,Someone in 2010 won't.,1.42
1344,"What's changed, right?",0.86
1345,"Today, we think that these machines that have language are intelligent, but I think in 20 years, we're gonna be like, yeah, but can it reproduce?",6.48
1346,"So reproduction, yeah, we may redefine what it means to be, what is it?",6.52
1347,A high-performance living organism on Earth.,2.74
1348,Humans are always gonna define a niche for themselves.,2.48
1349,"Like, well, you know, we're better than the machines because we can...",3.02
1350,"You know, and like they tried creative for a bit, but no one believes that one anymore.",3.06
1351,"But niche, is that delusional, or is there some accuracy to that?",4.2
1352,"Because maybe like with chess, you start to realize like that we have ill-conceived notions of what makes humans special, like the apex organism on Earth.",13.14
1353,"Yeah, and I think maybe we're gonna go through that same thing with language, and that same thing with creativity.",6.08
1354,But language carries these notions of truth and so on.,3.62
1355,"And so we might be like, wait, maybe truth is not carried by language.",3.92
1356,Maybe there's like a deeper thing.,1.4
1357,The niche is getting smaller.,1.42
1358,Oh boy.,0.64
1359,"But no, no, no, you don't understand.",3.1
1360,"Humans are created by God, and machines are created by humans, therefore.",3.42
1361,"Right, like that'll be the last niche we have.",1.4
1362,"So what do you think about this, the rapid development of LLMs?",3.42
1363,"If we could just like stick on that, it's still incredibly impressive.",3.1
1364,"Like with ChagGPT, just even ChagGPT, what are your thoughts about reinforcement learning with human feedback on these large language models?",6.58
1365,"I'd like to go back to when calculators first came out, or computers.",5.46
1366,"And like, I wasn't around.",1.2
1367,"Look, I'm 33 years old.",1.6
1368,And to like see how that affected like society.,7.66
1369,Maybe you're right.,0.7
1370,So I want to put on the big picture hat here.,4.92
1371,"Oh my God, a refrigerator, wow.",1.54
1372,"Refrigerator, electricity, all that kind of stuff.",2.16
1373,"But you know, with the internet, large language models seeming human-like, basically passing a Turing test, it seems it might have really at scale rapid transformative effects on society.",13.48
1374,But you're saying like other technologies have as well.,2.14
1375,So calculator's maybe not the best example of that.,1.96
1376,"Because that just seems like, well, no, maybe calculator.",4.0
1377,"But the poor milk man, the day he learned about refrigerators, he's like, I'm done.",3.3
1378,You're telling me you can just keep the milk in your house?,3.04
1379,"You don't need me to deliver it every day, I'm done.",1.88
1380,"Well, yeah, you have to actually look at the practical impacts of certain technologies that they've had.",4.98
1381,"Yeah, probably electricity is a big one.",1.6
1382,And also how rapidly it's spread.,1.44
1383,"Man, the internet is a big one.",1.16
1384,"I do think it's different this time, though.",1.48
1385,"Yeah, it just feels like- The niche is getting smaller.",2.34
1386,The niche is humans.,1.0
1387,Yes.,0.16
1388,That makes humans special.,1.46
1389,Yes.,0.14
1390,"It feels like it's getting smaller rapidly, though.",2.1
1391,Doesn't it?,0.76
1392,Or is that just a feeling we dramatize everything?,2.1
1393,I think we dramatize everything.,1.14
1394,"I think that you ask the milk man when he saw refrigerators, are they gonna have one of these in every home?",5.92
1395,"Yeah, yeah, yeah.",3.36
1396,"Yeah, but boy, is it impressive.",2.94
1397,So much more impressive than seeing a chess world champion AI system.,4.7
1398,"I disagree, actually.",1.4
1399,I disagree.,0.94
1400,I think things like MuZero and AlphaGo are so much more impressive.,3.86
1401,Because these things are playing beyond the highest human level.,4.48
1402,"The language models are writing middle school level essays, and people are like, wow, it's a great essay.",6.4
1403,It's a great five paragraph essay about the causes of the Civil War.,3.1
1404,"Okay, forget the Civil War, just generating code, codex.",2.58
1405,Oh.,0.3
1406,You're saying it's mediocre code.,2.38
1407,Terrible.,0.34
1408,But I don't think it's terrible.,1.52
1409,I think it's just mediocre code.,1.96
1410,Yeah.,0.24
1411,"Often close to correct, like for mediocre purposes.",4.64
1412,That's the scariest kind of code.,1.48
1413,I spend 5% of time typing and 95% of time debugging.,2.88
1414,The last thing I want is close to correct code.,2.34
1415,"I want a machine that can help me with the debugging, not with the typing.",2.84
1416,"It's like L2, level two driving, similar kind of thing.",3.94
1417,"Yeah, you still should be a good programmer in order to modify.",4.42
1418,I wouldn't even say debugging.,0.9
1419,"It's just modifying the code, reading it.",1.94
1420,don't actually I think it's like level two driving.,1.24
1421,"I think driving is not tool complete, and programming is.",2.58
1422,Meaning you don't use the best possible tools to drive.,2.92
1423,Cars have basically the same interface for the last 50 years.,5.06
1424,Computers have a radically different interface.,2.18
1425,Can describe you the concept of tool complete?,2.9
1426,"Yeah, so think about the difference between a car from 1980 and a car from today.",3.72
1427,"No difference, really.",1.1
1428,It's got a bunch of pedals.,0.76
1429,It's got a steering wheel.,0.64
1430,Great.,0.24
1431,"Maybe now it has a few ADAS features, but it's pretty much the same car.",3.5
1432,You have no problem getting into a 1980 car and driving it.,2.54
1433,"Take a programmer today who spent their whole life doing JavaScript, and you put him in an Apple IIe prompt, and you tell him about the line numbers in BASIC.",7.68
1434,"Wait, but how do I insert something between line 17 and 18?",3.56
1435,"Oh, wow.",0.78
1436,"But the, so in tool, you're putting in the programming languages.",5.32
1437,So it's just the entirety stack of the tooling.,2.28
1438,Exactly.,0.2
